ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q773,Contrast the modes of transmission for Chikungunya and Bacterial Meningitis.,"Chikungunya is transmitted through mosquito bites, while Bacterial Meningitis is transmitted via large respiratory droplets from infected individuals.",TG Booklet 6,"154, 142",Modes Of Transmission: Chikungunya Vs. Bacterial Meningitis
Q732,Compare the transmission modes of bacterial meningitis and anthrax.,"Bacterial meningitis is transmitted via large respiratory droplets from the nose and throats of infected people. Anthrax, on the other hand, is transmitted from infected domestic livestock or wild game animals to humans through direct or indirect contact with animals or their products.",TG Booklet 6,"143, 135",Transmission Modes: Bacterial Meningitis Vs. Anthrax
Q301,What factors should be considered when verifying information about a suspected outbreak or event?,"In Section 4.1.1, factors for verifying information about a suspected outbreak or event include the source of information, severity of reported illness, number of cases and deaths, age and sex of cases or deaths, mode of transmission, political or geographic considerations, importance of maintaining good relations, and available resources.",TG Booklet 3,201-209,"Verifying Information, Suspected Outbreak, Event, Source, Severity, Cases, Deaths, Age, Sex, Transmission, Political, Geographic, Relations, Resources"
Q375,Why is it important to interpret place analysis results during an outbreak investigation?,"Interpreting place analysis results helps describe the geographic extent of the problem, identify high-risk areas, detect clusters or patterns of transmission, and specify the proximity of cases to likely sources of infection.",TG Booklet 3,"344, 345, 346, 347","Place Analysis Interpretation, Geographic Extent, High-risk Areas, Transmission Patterns, Source Proximity"
Q828,"What are the similarities and differences between the surveillance goals for Chikungunya and diabetes, and why is it important to monitor prevention and control program activities for both diseases?",Similarities in surveillance goals include estimating disease magnitude and identifying high-risk populations. Differences may lie in specific risk factors. Monitoring program activities is crucial for both diseases to assess the effectiveness of prevention and control measures and implement tailored strategies.,TG Booklet 6,"154, 165",Surveillance Goals For Chikungunya Vs. Diabetes
Q980,What is the primary animal reservoir for the Monkeypox virus?,"The primary animal reservoir is unknown, but it has been detected in small mammal species, particularly rodents, and monkeys.",TG Booklet 6,230,"Monkeypox Animal Reservoir, Unknown, Detection, Small Mammals, Rodents, Monkeys"
Q931,Where do about half of maternal deaths occur annually?,About half of maternal deaths occur in sub-Saharan Africa.,TG Booklet 6,224,"Maternal Death Location, Sub-saharan Africa"
Q970,"How is MERS transmitted to humans, and what is the role of dromedary camels?","Humans are infected from direct or indirect unprotected contact with infected dromedary camels, the major reservoir host for MERS-CoV. The exact route of transmission is unknown, and the virus does not easily pass from person to person unless there is close unprotected contact.",TG Booklet 6,228,"MERS Transmission, Humans, Dromedary Camels, Reservoir Host, Contact, Virus Transmission Route, Person-to-person Contact"
Q910,What are the major determinants of malnutrition?,"Socio-economic conditions, poor water and sanitation, mothers’ nutritional education on how to feed babies and young children, and repeated infections.",TG Booklet 6,220,"Malnutrition Determinants, Socio-economic Conditions, Water And Sanitation, Mothers’ Nutritional Education, Feeding Babies, Young Children, Repeated Infections"
Q106,How should laboratories report results in case of a public health event and confirmation?,"Laboratories should report results as soon as confirmation is done to the respective health facility, IDSR focal person, and simultaneously to the national and district levels.",TG Booklet 2,643,"Laboratories, Public Health Event, Confirmation, Reporting"
Q1009,How many neonatal deaths occur annually in the African Region?,"One million neonatal deaths take place annually in the African Region, contributing significantly to the global burden.",TG Booklet 6,245,"Neonatal Deaths, African Region, Annual Occurrence, Global Burden"
Q389,"Which shapes of epidemic curves suggest brief exposure to the causal agent, and which suggest long-term exposure?",A sudden increase and decrease in the epidemic curve suggest brief exposure to the causal agent (337). A plateau in the curve indicates long-term exposure (338).,TG Booklet 3,"337, 338","Epidemic Curve Shapes, Brief Vs. Long-term Exposure, Causal Agent"
Q1154,Where should the overall coordination of data collection and dissemination be undertaken during humanitarian crises?,"Overall coordination should be undertaken by the IDSR unit within the Ministry of Health, supported by WHO and partners, and fed as necessary to the PHEOC if it exists.",TG Booklet 5,128,"Coordination, Data Collection, Dissemination, Humanitarian Crises, IDSR Unit, Ministry Of Health, WHO, Partners, PHEOC"
Q1034,How should health authorities respond to a suspected case of poliomyelitis?,"Report the suspected case immediately, conduct a case-based investigation, collect two stool specimens, and obtain virological data from a reference laboratory to confirm the etiology.",TG Booklet 6,260,"Health Authorities Response, Suspected Poliomyelitis, Reporting, Case Investigation, Stool Specimens, Virological Data"
Q12,What are the main sources of data for IBS.,"Mandatory notification forms, syndromic data, mortality, lab data.",TG Booklet 1,78,"IBS Data Sources, Mandatory Notification Forms, Syndromic Data, Mortality, Lab Data."
Q1078,Who is involved in the reporting process in case-based surveillance?,"In case-based surveillance, health personnel at various levels are involved in the immediate reporting process of individual cases.",TG Booklet 1,82,"Health Personnel, Reporting Process, Immediate Reporting, Individual Cases"
Q11,What is one advantage and opne disadvantage of IBS?,"IBS is better in monitoring disease trends over time and useful for signalling the start of regular seasonal outbreaks of endemic diseases using alert and epidemic thresholds. IBS may not be useful for smaller events because alerts are either averaged out in large data sets, or lost in smaller data sets.",TG Booklet 1,99,"IBS Advantages, Monitoring Disease Trends, Seasonal Outbreaks, Alert And Epidemic Thresholds, Limitations For Smaller Events."
Q744,"Which antibiotic is recommended for treating bacterial meningitis during epidemics, and why is ceftriaxone preferred over other antibiotics?","Ceftriaxone is the drug of choice for treating bacterial meningitis during epidemics due to its effectiveness against the predominant meningitis pathogens. Additionally, there is no detected antimicrobial resistance to ceftriaxone in Africa.",TG Booklet 6,143,Bacterial Meningitis Epidemic Treatment: Ceftriaxone Preference
Q262,What are the main sections covered in the Integrated Disease Surveillance and Response Technical Guidelines in Malawi?,"The main sections covered in the Integrated Disease Surveillance and Response Technical Guidelines in Malawi include Section 4, focusing on investigating and confirming suspected outbreaks; Section 5, preparing to respond to outbreaks; Section 6, responding to outbreaks; and Section 7, addressing risk communication and community engagement.",TG Booklet 3,11,"Integrated Disease Surveillance And Response, Technical Guidelines, Malawi, Sections 4-7, Outbreaks, Response, Risk Communication, Community Engagement"
Q457,Why is the District log of suspected outbreaks and alerts important during an outbreak investigation?,"The log is crucial for documenting information received about suspected outbreaks, alerts, or unexplained events. It tracks the steps taken and response activities, serving as a historical record. This information aids in understanding the outbreak's progression, response effectiveness, and provides a basis for future analysis and improvement in outbreak management.",TG Booklet 3,411,"District Log Importance, Documenting Information, Suspected Outbreaks, Alerts, Tracking, Historical Record, Progression, Response"
Q1098,Why is IDSR an important tool in DRM?,"IDSR is an important tool in DRM because it provides early warning information crucial for risk assessment and ultimately, risk reduction.",TG Booklet 1,156,"IDSR, DRM, Early Warning, Risk Assessment, Risk Reduction"
Q1053,What are the similarities and differences in the recommended responses to confirmed cases of tuberculosis and typhoid fever?,"Responses involve laboratory testing, reporting, and investigation. Tuberculosis treatment includes antibiotics, while typhoid fever cases may require supportive measures like hydration and antipyretics.",TG Booklet 6,"287, 290","Confirmed Case Response, Tuberculosis, Typhoid Fever"
Q662,How should data be analyzed and interpreted during an outbreak of acute haemorrhagic fever syndrome?,"Implement immediate case-based reporting, analyze age and sex distribution, graph cases and deaths, map locations of cases' households and work sites.",TG Booklet 6,122,"Implement Immediate Case-based Reporting, Analyze Age And Sex Distribution, Graph Cases And Deaths, Map Locations Of Cases' Households And Work Sites."
Q993,Are diagnostic services for Monkeypox routinely available?,"Diagnostic services for monkeypox are not routinely available, and advance arrangements are usually required.",TG Booklet 6,234,"Monkeypox Diagnostic Services, Availability, Advance Arrangements, National Authority, World Health Organization"
Q161,What steps are involved in receiving data at the reporting site level?,"Steps include acknowledging receipt, logging data in an appropriate log book, recording sender information, verifying timeliness, checking completeness, reviewing data quality, and merging data into a database.",TG Booklet 2,753-764,"Data Receipt At Reporting Site Level, Acknowledgment, Data Logging, Sender Information, Verification, Completeness, Data Quality, Database"
Q133,"What does the District Level IDSR Data Quality Audit Checklist include under the category of ""General""?","Under the ""General"" category in the District Level IDSR Data Quality Audit Checklist, questions include the presence of an information flow diagram or description for reporting to the district level, the frequency of data review and collection, the existence of a list of notifiable diseases, and the availability of case definitions for priority reportable diseases.",TG Booklet 2,701,"District Level IDSR Data Quality Audit Checklist, General, Information Flow, Data Review, List Of Notifiable Diseases, Case Definitions"
Q393,What are the key components that should be included in the recommendations section of an outbreak investigation report?,"The recommendations section should include suggestions for further investigation or studies, along with immediate measures to control the situation. If necessary, the district rapid response team should prepare an outbreak investigation report, including details on the outbreak, and disseminate it to relevant stakeholders, including health facilities, district, national, and WHO (371).",TG Booklet 3,371,"Recommendations, Outbreak Investigation Report, Further Investigation, Studies, Immediate Measures, Control, Dissemination"
Q1233,What are the different dimensions of completeness in surveillance and how are they measured?,"Different dimensions of completeness in surveillance include the completeness of reporting sites, case reporting, and surveillance data. They are measured by analyzing the proportion of sites that submitted reports, comparing reported cases to actual cases, and matching expected data requirements with what is reported.",TG Booklet 4,228-236,"Completeness Dimensions, Surveillance, Measurement, Reporting Sites, Case Reporting, Surveillance Data, Report Submission, Case Comparison, Data Requirements, Data Matching"
Q956,"Why does measles have a high transmission rate, and when do large outbreaks occur?",Measles is among the most transmissible human infections. Large outbreaks occur every few years in areas with low vaccine coverage and where there is an accumulation of individuals who have never been infected or vaccinated.,TG Booklet 6,226,"Measles Transmission Rate, Large Outbreaks, Low Vaccine Coverage, Susceptible Individuals"
Q306,How does Section 4.1.3 advise planning for communication during an outbreak investigation?,"Section 4.1.3 advises making a communication plan for the investigation team, including a diagram showing reporting lines, methods, and frequency of communication within the team and between different levels. It highlights the need for communication with the Ministry of Health, the media, the community, and key partners.",TG Booklet 3,253,"Communication Planning, Outbreak Investigation, Reporting Lines, Methods, Frequency, Ministry Of Health, Media, Community, Partners"
Q111,How can data transaction errors and result turnaround time be minimized?,Integration of OHSP/eIDSR with the Laboratory Information Management System (LIMS) is encouraged to minimize data transaction errors and shorten result turnaround time.,TG Booklet 2,650,"Data Transaction Errors, Result Turnaround Time, OHSP, Eidsr, Laboratory Information Management System (LIMS)"
Q577,Is there an explanation for the abbreviation AEFI in the TG?,Adverse Events Following Immunization,TG Booklet 6,106,"AEFI, Adverse Events Following Immunization, TG Explanation"
Q484,What is the objective of the example analytical study provided?,"The objective of the example analytical study is to determine potential exposures to cholera in the Central African Republic. The study employs a case-control design and analyzes the association between consuming cold cassava leaves and the odds of having cholera. The unadjusted matched analysis indicates a statistically significant association, with persons who ate cold cassava leaves having greater odds of having cholera. The study aims to test hypotheses and identify potential risk factors for cholera.",TG Booklet 3,471,"Analytical Study Objective, Hypotheses Testing, Cholera, Potential Exposures, Case-control Design, Odds Ratio, Risk Factors Identification"
Q924,What is the goal of nutrition surveillance?,"Early warning and problem identification, policy-making and planning, and program management and evaluation.",TG Booklet 6,220,"Nutrition Surveillance Goal, Early Warning, Problem Identification, Policy-making, Planning, Program Management, Evaluation"
Q918,Why does severe malnutrition contribute to child mortality?,It may act as a direct cause of death or an indirect cause by increasing deaths in children suffering from common childhood illnesses such as diarrhoea and pneumonia.,TG Booklet 6,220,"Severe Malnutrition, Child Mortality, Direct Cause Of Death, Indirect Cause, Childhood Illnesses, Diarrhoea, Pneumonia"
Q1183,What are the steps involved in alert verification during a humanitarian crisis?,"Alert verification steps include collecting information about standard case definitions, symptoms and signs, date and place of onset of symptoms, patient details like age, sex, and vaccination status, community-level data, geographical and time relationships between cases, laboratory investigation of suspected cases, and outcomes like deaths, case management details, and health-care staff affected.",TG Booklet 5,247-257,"Alert Verification, Humanitarian Crisis, Case Definitions, Symptoms, Onset Of Symptoms, Patient Details, Community-level Data, Laboratory Investigation, Outcomes"
Q348,How should the search for additional cases in health facility records be conducted?,"In health facilities where cases have been reported, search for additional suspected cases and deaths in the registers. Look for other patients with similar signs and symptoms. Request health workers to search in neighboring health facilities and facilities where the person may have passed during travel. Follow up any cases that have been allowed to go home.",TG Booklet 3,304,"Additional Cases Search, Health Facility, Records, Similar Symptoms, Neighboring Facilities, Patient Follow-up"
Q632,"What is NSTCC an abbreviation for, and where can I find its meaning in the TG?",National Surveillance Technical Coordination Committee,TG Booklet 6,106,National Surveillance Technical Coordination Committee
Q603,"What does EPI stand for, and is it defined in the TG?",Expanded Program on Immunization,TG Booklet 6,106,Expanded Program On Immunization
Q843,What is the standard case definition for Chikungunya?,The standard case definition for Chikungunya includes the presence of acute fever and severe arthralgia.,TG Booklet 6,154,Standard Case Definition For Chikungunya
Q431,What aspects should a regular risk assessment cover when conducted after an outbreak is confirmed?,"A regular risk assessment should cover factors such as evaluating the susceptibility of the population, potential spread of the event in affected and neighboring areas, the risk of further transmission, morbidity, mortality, population characteristics, seasonal considerations, and any factors contributing to increased opportunities for spread.",TG Booklet 3,396-398,"Regular Risk Assessment Aspects, Outbreak Confirmed, Population Susceptibility, Spread, Transmission, Morbidity, Mortality"
Q881,What are the standard case definitions for influenza caused by a new subtype?,- Suspected Case: Fever (>38°C) and [cough or shortness of breath or difficulty breathing] with onset within the last 10 days in a person with certain epidemiological exposures. - Probable Case: A suspected case with positive laboratory confirmation of influenza A virus infection but insufficient evidence for subtype. - Confirmed Case: Laboratory confirmation of a recent infection with non-seasonal influenza virus in a person. - Discarded Case: A suspected or probable case with a negative test for non-seasonal influenza virus.,TG Booklet 6,189,"Influenza Case Definitions, New Subtype, Suspected Case, Fever, Cough, Shortness Of Breath, Recent Onset, Epidemiological Exposure, Probable Case, Positive Influenza A Virus, Insufficient Subtype Evidence, Confirmed Case, Recent Infection, Non-seasonal Influenza Virus, Discarded Case, Negative Test"
Q850,What is the standard case definition for Ebola or Marburg virus diseases in routine surveillance?,"The standard case definition for routine surveillance of Ebola or Marburg virus diseases includes suspected cases with fever and signs such as bloody diarrhea or bleeding, and confirmed cases with laboratory verification or epidemiologic links.",TG Booklet 6,180,Standard Case Definition For Ebola Or Marburg
Q812,"Why is it important to transport specimens for Chikungunya testing in accordance with WHO guidelines, and who should be contacted if diagnostic services are not routinely available?","Transporting specimens according to WHO guidelines ensures their integrity and reliable testing. If diagnostic services are not routinely available, the appropriate National authority or WHO should be contacted for further guidance.",TG Booklet 6,156,Transporting Chikungunya Specimens
Q490,Why is triple packaging of samples important during an outbreak?,"Triple packaging of samples is important during an outbreak to ensure the safe transportation of laboratory specimens. This practice helps prevent contamination, leakage, and exposure to samples, maintaining the integrity of the specimens and facilitating accurate laboratory testing.",TG Booklet 3,467,"Triple Packaging Importance, Outbreak, Sample Transportation Safety, Contamination Prevention, Leakage Prevention, Accurate Testing"
Q858,What are the results of diagnostic services for viral hemorrhagic fevers such as Ebola or Marburg?,"Diagnostic services for viral hemorrhagic fevers are not routinely available, and advance arrangements are usually required. Contacting the appropriate national authority or the World Health Organization (WHO) is necessary for arranging diagnostic services.",TG Booklet 6,180,"Diagnostic Services, Viral Hemorrhagic Fevers, Advance Arrangements, National Authority, WHO"
Q1163,When should a rapid risk assessment be conducted during a humanitarian crisis?,"A rapid risk assessment should be conducted during the acute phase of the crisis to identify and prioritize diseases, conditions, and events that pose a threat to the population.",TG Booklet 5,150,"Rapid Risk Assessment, Acute Phase, Humanitarian Crisis, Diseases, Conditions, Events, Threat, Population"
Q524,Does the TG contain case definitions for Diabetes?,"Yes, Page 48 of TG Booklet 6 Section 11",TG Booklet 6,27,"TG, Diabetes, Case Definitions, Page 48, Booklet 6, Section 11"
Q832,"What is the role of the World Health Organization and the International Diabetes Federation in addressing diabetes in Africa, and why is it important to adopt resolutions and strategies for diabetes prevention and control?","The WHO and IDF jointly carry out actions to promote diabetes awareness in Africa. Adopting resolutions and strategies is essential to create an environment that enhances the fight against diabetes, emphasizing the importance of collaborative efforts in prevention and control.",TG Booklet 6,165,WHO And IDF Roles In Diabetes In Africa
Q700,What is the standard case definition for AEFI?,"Any untoward medical occurrence following immunization that does not necessarily have a causal relationship with the vaccine. It includes any unfavorable or unintended sign, abnormal laboratory finding, symptom, or disease.",TG Booklet 6,133,"Any Untoward Medical Occurrence Following Immunization That Does Not Necessarily Have A Causal Relationship With The Vaccine. It Includes Any Unfavorable Or Unintended Sign, Abnormal Laboratory Finding, Symptom, Or Disease."
Q1235,What are the consequences of incomplete surveillance data and how can these issues be resolved?,"Consequences of incomplete surveillance data include poor quality of surveillance data and compromised public health actions. Issues can be resolved by identifying which variables are not routinely collected, understanding the problem with their collection, and addressing the implications of missing data.",TG Booklet 4,236-240,"Consequences, Incomplete Surveillance Data, Surveillance Data Quality, Public Health Actions, Variable Collection, Problem Identification, Missing Data Implications, Issue Resolution"
Q935,What is the recommended surveillance goal for maternal deaths?,The recommended surveillance goal for maternal deaths includes active surveillance for improved and accurate identification and reporting at the community and facility levels.,TG Booklet 6,224,"Maternal Death Surveillance Goal, Active Surveillance, Accurate Identification, Reporting, Community Level, Facility Level"
Q1055,How do the surveillance goals for detecting tuberculosis cases differ from those for typhoid fever?,"The surveillance goal for tuberculosis is the early detection of persons with infectious lung disease, whereas the goal for typhoid fever is to detect sporadic cases and outbreaks promptly and seek laboratory verification.",TG Booklet 6,"286, 290","Surveillance Goals, Tuberculosis, Typhoid Fever"
Q695,Compare the transmission modes of hepatitis B and C and their major causes in highly endemic regions.,"Hepatitis B: Percutaneous or mucosal exposure to blood, perinatal transmission, nosocomial exposure, shared needles, household contact, and sexual contact. Hepatitis C: Parenteral exposure to blood, major causes include unscreened blood transfusions and re-use of inadequately sterilized needles.",TG Booklet 6,125,"Hepatitis B: Percutaneous Or Mucosal Exposure To Blood, Perinatal Transmission, Nosocomial Exposure, Shared Needles, Household Contact, And Sexual Contact. Hepatitis C: Parenteral Exposure To Blood, Major Causes Include Unscreened Blood Transfusions And Re-use Of Inadequately Sterilized Needles."
Q1234,How does completeness of reporting affect the effectiveness of the surveillance system?,"Completeness of reporting affects the effectiveness of the surveillance system by providing accurate and comprehensive data for public health actions, allowing for trend analysis, and helping to identify and correct performance issues.",TG Booklet 4,"229-232, 236-240","Completeness Impact, Reporting, Surveillance System Effectiveness, Accurate Data, Comprehensive Data, Public Health Actions, Trend Analysis, Performance Issues, Correction"
Q123,"Who completes the Community-Based Surveillance Monthly Log Sheet, and to whom is it submitted?",The Community Health Worker (CHW) completes the form with assistance from the ComBaS key informant. It is submitted monthly to the nearest health facility IDSR focal person.,TG Booklet 2,681,"Completing The Form, Community Health Worker, Combas Key Informant, Submission"
Q208,What is the attack rate?,"The attack rate is the measure of frequency of morbidity or speed of spread in an at-risk population. It describes the risk of getting the disease during a specified period, such as the duration of an outbreak. The attack rate is defined as the frequency with which an event (such as a new case of illness) occurs in a population at risk over a specified period. It is usually expressed per population at risk. For example, if there are 16 cases of cholera in a village with a population of 800, the attack rate would be calculated as 16/800, resulting in 0.02 or 2.0% (expressed as a percentage). The attack rate provides valuable information during outbreaks and helps assess the risk of disease transmission in a specific population.",TG Booklet 2,859,"Attack Rate, Frequency, Morbidity, At-risk Population, Risk Of Disease, Specified Period, Outbreak"
Q876,What are the recommended public health actions for hypertension?,"Recommended public health actions for hypertension include establishing health promotion for non-communicable diseases with a focus on HBP, conducting community-based education on behavior change and healthy lifestyles, and promoting secondary prevention and treatment interventions at health facilities in line with national guidelines.",TG Booklet 6,188,"Public Health Actions, Hypertension, Health Promotion, Non-communicable Diseases, Community-based Education, Behavior Change, Healthy Lifestyle, Secondary Prevention, Treatment Interventions, National Guidelines"
Q758,"How is Buruli ulcer (BU) usually diagnosed, and what are the routine diagnostic methods?","BU is usually diagnosed clinically by finding acid-fast bacilli (AFB) in smears from infected ulcers and tissue biopsies. PCR and culture are also used for identification, but diagnostic services are not routinely available.",TG Booklet 6,152,BU Diagnosis: Routine Methods
Q926,"When should an alert be triggered for malnutrition in children, and what action should be taken?","An alert should be triggered if more than 20% of children are underweight, and further investigation should be conducted, with referral to a therapeutic feeding program for cases with MUAC less than 11.5 cm.",TG Booklet 6,221,"Malnutrition Alert Trigger, Children Underweight Percentage, Further Investigation, Therapeutic Feeding Program Referral, MUAC Criteria"
Q99,What approach is recommended to strengthen reporting and involvement from various sectors?,"The One Health approach is recommended to strengthen reporting, with effective involvement from human, animal, and environmental health sectors, as well as other relevant sectors.",TG Booklet 2,651,"One Health Approach, Reporting, Human Health, Animal Health, Environmental Health, Relevant Sectors, Strengthening"
Q1146,Who should be involved in the coordination mechanism for IDSR in humanitarian emergencies?,"A coordination structure involving national and intermediate levels should be established to ensure a single entry point for reporting, analysis, triaging information, verifying signals, assessing risks, and monitoring and responding to public health events.",TG Booklet 5,124,"Coordination Mechanism, IDSR, Humanitarian Emergencies, National Level, Intermediate Level, Reporting, Analysis, Information Triaging"
Q1208,When should the quality of the surveillance system be assessed?,"The quality of the surveillance system should be periodically assessed based on attributes such as completeness, timeliness, usefulness, and others listed.",TG Booklet 4,197-210,"Quality Assessment, Surveillance System, Periodic Assessment, Attributes, Completeness, Timeliness, Usefulness"
Q991,What measures should be taken if a single Monkeypox case is confirmed?,"Strict infection control measures should be maintained throughout the outbreak. Community mobilization, education, active searches for additional cases, and requesting help from national and international levels are essential.",TG Booklet 6,232,"Monkeypox Confirmed Case Measures, Infection Control, Community Mobilization, Education, Additional Case Search, National, International Help Request"
Q1218,When should data be submitted to begin investigations and implement control measures?,Data should be submitted in time to begin investigations and implement control measures as per the timeliness standards developed by each country in accordance with the timelines set by WHO AFRO.,TG Booklet 4,213-214,"Data Submission, Investigations, Control Measures, Timeliness Standards, Country Development, WHO AFRO Timelines"
Q952,"How should health facilities respond to a suspected maternal death, and why is a timely response important?","Health facilities should provide an initial notification within 24 hours by the fastest means possible, followed by a written report and review within 7 days. Timely response is crucial for effective maternal death surveillance and response.",TG Booklet 6,224,"Health Facilities Response, Suspected Maternal Death, Timely Response, Initial Notification, Written Report, Review"
Q842,"What is the extent of the resurgence of cholera in Africa since the mid-1980s, and who are the populations at highest risk for Diabetes Mellitus?","Cholera has resurged in Africa since the mid-1980s, with over 80% of global cases reported in 1999. Populations at highest risk for Diabetes Mellitus include individuals with non-modifiable risk factors like old age, family history, and modifiable risk factors like obesity, physical inactivity, and excessive alcohol consumption.",TG Booklet 6,"157, 165",Resurgence Of Cholera In Africa
Q281,"What preparations are necessary before embarking on an outbreak investigation, according to Section 4.1?","Before embarking on an outbreak investigation (Section 4.1), necessary preparations include providing the team with appropriate information and data about the suspected disease. This ensures that the team is aware of symptoms, case definitions, modes of transmission, diagnostic tests, and control measures.",TG Booklet 3,219,"Preparations, Outbreak Investigation, Section 4.1, Team, Disease Information, Symptoms, Case Definitions, Transmission, Diagnostic Tests, Control Measures"
Q1023,How should health authorities respond to a suspected case of pneumonic plague?,"Report case-based information immediately, isolate the patient with precautions against airborne spread, collect specimens for confirmation, investigate the case, and initiate treatment with appropriate antibiotics.",TG Booklet 6,255,"Health Authorities Response, Suspected Case, Pneumonic Plague, Reporting, Isolation, Specimen Collection, Case Investigation, Antibiotic Treatment"
Q680,"How is chronic hepatitis C infection transmitted, and what are the risk factors?",Transmitted by parenteral exposure to blood; major causes include use of unscreened blood transfusions and re-use of inadequately sterilized needles.,TG Booklet 6,125,Transmitted By Parenteral Exposure To Blood; Major Causes Include Use Of Unscreened Blood Transfusions And Re-use Of Inadequately Sterilized Needles.
Q336,What steps should be taken if laboratory testing is required to confirm a disease during an outbreak investigation?,"Refer to the laboratory requirements in Section 11.0 of the 3rd Edition Malawi IDSR Technical Guidelines to determine the diagnostic test, specimen, and collection procedures.",TG Booklet 3,292,"Laboratory Testing, Outbreak Investigation, Diagnostic Test, Specimen, Collection Procedures, Section 11.0, IDSR Guidelines"
Q548,Does the TG contain case definitions for Perinatal (Stillbirths and Neonatal) Deaths?,"Yes, Page 140 of TG Booklet 6 Section 11",TG Booklet 6,51,"TG, Perinatal Deaths, Case Definitions, Page 140, Booklet 6, Section 11"
Q59,How many diseases and conditions require monthly or quaterly reporting?,There are 24 diseases and conditions that require monthly or quarterly reporting.,TG Booklet 2,571,"Diseases And Conditions, Monthly, Quarterly Reporting, 24 Diseases And Conditions"
Q138,"What variables are covered under the ""Perinatal death history and risk factors"" section of the Maternal Death Reporting Form?","Variables covered under the ""Perinatal death history and risk factors"" section of the Maternal Death Reporting Form include information about multiple pregnancies, birth before arrival, mode of delivery, gestational age, HIV status, syphilis serology, maternal age, and other factors related to the perinatal period.",TG Booklet 2,703,"Perinatal Death, Risk Factors, Maternal Death Reporting Form, Multiple Pregnancies, Mode Of Delivery, Gestational Age, HIV Status, Syphilis Serology"
Q771,"What specific information, related to clinical aspects, specimen collection, risk factors, and treatment, is essential in the Chikungunya alert threshold response?","In the Chikungunya alert threshold response, essential information includes clinical details, specimen collection procedures, risk factors for transmission, and treatment measures.",TG Booklet 6,155,Chikungunya Alert Threshold: Essential Information
Q366,"Which form should be completed for any new cases during an outbreak investigation, and where can you find it?","The case-based surveillance reporting form (Annex 2F) should be completed for new cases, and the details recorded on the line list register (Annex 4E).",TG Booklet 3,"319, 320","Case-based Surveillance Reporting Form, New Cases, Outbreak Investigation, Annex 2F, Line List Register, Annex 4E"
Q235,What aspects should be reviewed when assessing findings?,"When reviewing findings, one should assess whether the situation is improving or not, make comparisons of observed data to expected data, and consider possible explanations for an apparent increase in cases.",TG Booklet 2,905-908,"Findings Assessment, Situation Improvement, Observed Data, Expected Data, Case Increase Explanations"
Q880,What are the surveillance goals for influenza caused by a new subtype?,"The surveillance goals include detecting and investigating the first evidence of sustained human-to-human transmission of an influenza virus with pandemic potential, assessing the earliest cases of pandemic influenza to characterize the new disease, monitoring the pandemic's course locally, regionally, and globally, and ensuring the timely implementation of control measures.",TG Booklet 6,189,"Surveillance Goals, New Subtype Influenza, Human-to-human Transmission Detection, New Disease Characterization, Pandemic Course Monitoring, Control Measures Implementation"
Q181,Why is analyzing data by place important in disease surveillance?,Analyzing data by place provides insight into where a disease is occurring and helps understand the spread of the disease.,TG Booklet 2,809,"Importance Of Analyzing Data By Place, Disease Occurrence, Spread"
Q1139,How does the role of health facilities/clinics in early warning differ between functional static and mobile setups?,"In functional static setups, health facilities/clinics provide a fixed point for data collection and reporting. In mobile setups, they offer a more flexible and adaptable means to reach displaced populations and gather data in emergency settings.",TG Booklet 5,96,"Health Facilities, Clinics, Functional Static Setups, Mobile Setups, Data Collection, Reporting, Displaced Populations, Emergency Settings"
Q1171,Who should be involved in the periodic evaluation to improve the performance of the surveillance system?,"Health workers, surveillance focal persons or points, and rapid response teams should be involved in the periodic evaluation to improve the performance of the surveillance system.",TG Booklet 5,225,"Periodic Evaluation, Performance, Surveillance System, Health Workers, Surveillance Focal Persons, Rapid Response Teams"
Q727,"Which precautions should be taken in managing confirmed Anthrax cases, and why is prompt and thorough decontamination essential?","Standard infection control precautions should be used, with particular attention to body fluid spills. Prompt and thorough decontamination is essential because remaining organisms on surfaces may form spores, which are infectious.",TG Booklet 6,137,"Anthrax Confirmed Case Management: Precautions, Decontamination"
Q130,What is the purpose of the IDSR Reports and Data Sharing Logbook?,"The purpose of the IDSR Reports and Data Sharing Logbook is to capture information related to the reception date of the report or dataset, report description, reporting site name, reported period, whether the report form is well filled, if the report was received timely or late, feedback sent to the reporting site, and additional comments.",TG Booklet 2,696,"IDSR Reports, Data Sharing Logbook, Information, Reception Date, Reporting Site, Report Description"
Q495,Which kind of contacts are defined in the contact tracing form?,"The contact tracing form defines different kinds of contacts based on the level of exposure to a suspected case. These include contacts who slept in the same household, had direct physical contact, touched linens or body fluids, and those who ate or touched a sick or dead animal. The classification helps in assessing the risk level and planning appropriate follow-up actions for each type of contact.",TG Booklet 3,454-458,"Contact Tracing, Contact Types Definition, Exposure Level Classification, Follow-up Actions, Interventions Tailoring"
Q126,What is the reporting structure for community alerts?,"The reporting structure involves notifying the District Rapid Response Team (RRT) within 24 hours if the alert is a TRUE EVENT. If the alert is NOT a TRUE EVENT, the community is informed, and no further investigation is required.",TG Booklet 2,684-687,"Reporting Structure, Community Alerts, District Rapid Response Team (RRT)"
